split,field,count,missing,mean,std,min,p1,p5,p25,median,p75,p95,p99,max
ALL,body_height_cm,105000,0,172.12120182931082,8.786753713141813,149.76600646972656,151.35800170898438,157.68499755859375,168.13099670410156,171.3990020751953,176.9600067138672,187.35000610351562,195.71600341796875,195.71600341796875
ALL,body_bust_cm,105000,0,105.10656876017252,10.726719103894101,82.71890258789062,84.0470962524414,89.97450256347656,96.02010345458984,103.3499984741211,108.9010009765625,126.01300048828125,141.02000427246094,147.0449981689453
ALL,body_waist_cm,105000,0,91.38641622830346,13.970097563855813,61.2036018371582,63.724098205566406,71.99559783935547,80.243896484375,89.2217025756836,96.4999008178711,117.7239990234375,136.99200439453125,142.31300354003906
ALL,body_hips_cm,105000,0,106.63406258973622,9.565344631199794,87.5521011352539,89.18830108642578,92.95089721679688,100.2040023803711,105.15599822998047,109.65899658203125,126.07599639892578,129.5850067138672,152.27000427246094
ALL,garment_bust_cm,105000,0,114.4942799991426,13.062216253624833,87.43486785888672,93.49258422851562,96.24263534545898,104.59770965576172,112.9541244506836,122.91929626464844,138.2198944091797,152.1355438232422,197.25389099121094
ALL,garment_length_cm,105000,0,53.86815587683178,8.594885877060088,31.922155380249023,36.48478282928467,41.35907611846924,48.5271110534668,52.0628547668457,58.13628387451172,70.7796844482422,78.4852066040039,96.23037719726562
ALL,garment_sleeve_cm,105000,0,30.17717084858304,18.198437832870052,0.0,0.0,0.0,17.241334915161133,22.817319869995117,50.03951644897461,58.10946044921874,63.577041854858386,82.12307739257812
ALL,bust_ease_cm,105000,0,9.387711238970075,10.754263496478789,-14.996788024902344,-13.330952453613282,-7.77669067382812,4.1474456787109375,6.703521728515625,15.754951477050781,29.06109390258786,37.899175415039,86.65958404541016
ALL,bust_ease_ratio,105000,0,0.09298063606421259,0.10640609692752437,-0.1423629073556003,-0.11579005581012386,-0.0700575588007338,0.039999985710871634,0.06304840075152403,0.15345591718504598,0.2899999800869346,0.38886372254903573,0.923284593101965
ALL,garment_length_height_ratio,105000,0,0.31321721358409305,0.04882508283041942,0.17868616273544108,0.2141081443746465,0.24026263107553153,0.2854470840872938,0.3037871748773431,0.3350923105610455,0.4118410164246322,0.4496539297024035,0.5595090140423576
train,body_height_cm,100000,0,172.12582945236207,8.790549822659706,149.76600646972656,151.35800170898438,157.68499755859375,168.13099670410156,171.3990020751953,176.9600067138672,190.56399536132812,195.71600341796875,195.71600341796875
train,body_bust_cm,100000,0,105.11789628349304,10.726505388825005,82.71890258789062,84.0470962524414,89.97450256347656,96.02010345458984,103.3499984741211,108.9010009765625,126.01300048828125,141.02000427246094,147.0449981689453
train,body_waist_cm,100000,0,91.4011177268219,13.969879665258976,61.2036018371582,63.724098205566406,71.99559783935547,80.243896484375,89.2217025756836,96.4999008178711,117.7239990234375,136.99200439453125,142.31300354003906
train,body_hips_cm,100000,0,106.64071035377502,9.567577668251241,87.5521011352539,89.18830108642578,92.95089721679688,100.36000061035156,105.15599822998047,109.65899658203125,126.07599639892578,129.5850067138672,152.27000427246094
train,garment_bust_cm,100000,0,114.51374594543456,13.072324289210647,87.49529266357422,93.5123291015625,96.25593910217285,104.59770965576172,113.01932907104492,122.91929626464844,138.2198944091797,152.1355438232422,197.25389099121094
train,garment_length_cm,100000,0,53.86802429517746,8.59399744080496,31.922155380249023,36.46884536743164,41.35502891540527,48.52815246582031,52.06492614746094,58.13632106781006,70.77980041503906,78.49597930908203,96.23037719726562
train,garment_sleeve_cm,100000,0,30.191814957056046,18.196846412863266,0.0,0.0,0.0,17.24340581893921,22.82838535308838,50.03989887237549,58.12797164916992,63.60915855407711,82.12307739257812
train,bust_ease_cm,100000,0,9.395849661941527,10.760943993648183,-14.996788024902344,-13.273887405395508,-7.755475616455076,4.134002685546875,6.699222564697266,15.772857666015625,29.095504760742188,37.93140800476073,86.65958404541016
train,bust_ease_ratio,100000,0,0.09304323649065002,0.10644580902128782,-0.1423629073556003,-0.11564005617666277,-0.0700575588007338,0.039999979192222763,0.06304062708520305,0.15393090350203545,0.28999998363345036,0.3893562696492168,0.923284593101965
train,garment_length_height_ratio,100000,0,0.3132083982530635,0.04881806479632241,0.17868616273544108,0.2140308060877295,0.24022584077179715,0.28547062253979893,0.30377724386282856,0.3350699230682693,0.4117645730366627,0.449681809032987,0.5595090140423576
eval,body_height_cm,5000,0,172.02864936828612,8.710839699200747,149.76600646972656,151.35800170898438,157.68499755859375,168.13099670410156,171.33299255371094,176.9600067138672,185.59300231933594,195.71600341796875,195.71600341796875
eval,body_bust_cm,5000,0,104.8800182937622,10.729554168788994,82.71890258789062,84.0470962524414,89.97450256347656,96.02010345458984,103.3499984741211,108.76799774169922,126.01300048828125,141.02000427246094,147.0449981689453
eval,body_waist_cm,5000,0,91.09238625793456,13.972603794190293,61.2036018371582,63.43470001220703,70.97789764404297,80.243896484375,89.2217025756836,96.4999008178711,117.7239990234375,141.15199279785156,142.31300354003906
eval,body_hips_cm,5000,0,106.50110730895996,9.520551622106897,87.5521011352539,89.18830108642578,92.95270195007325,100.10199737548828,105.15599822998047,109.65899658203125,124.69200134277344,129.5850067138672,152.27000427246094
eval,garment_bust_cm,5000,0,114.10496107330323,12.853484496397801,87.43486785888672,93.43046157836915,95.80094909667969,104.38175964355469,112.51969528198242,122.43610000610352,137.28329467773438,149.8894213867188,172.60804748535156
eval,garment_length_cm,5000,0,53.870787509918216,8.613496149610395,32.769588470458984,36.69574413299561,41.39301815032959,48.500648498535156,52.0506477355957,58.12366580963135,70.76777000427246,78.07055702209476,90.08356475830078
eval,garment_sleeve_cm,5000,0,29.884288679122925,18.229589305978056,0.0,0.0,0.0,17.203752040863037,22.558076858520508,50.02761459350586,57.740089416503906,62.44948719024662,79.61761474609375
eval,bust_ease_cm,5000,0,9.224942779541015,10.619524615258205,-14.892967224121094,-13.438796997070312,-7.899234008789061,4.338186264038086,6.820919036865234,15.249048233032227,28.547114944458027,37.00373596191408,61.71650695800781
eval,bust_ease_ratio,5000,0,0.0917286275354641,0.10561149612126541,-0.13707685705994882,-0.11619679641584729,-0.07050366517373056,0.04042752471239318,0.06321955369128965,0.14999997178921806,0.28999992665196694,0.3865074092474536,0.6091128110624717
eval,garment_length_height_ratio,5000,0,0.313393520204684,0.048969794823622945,0.18917351867937332,0.21537591366834163,0.24049827809907637,0.2846274859095388,0.3040244131407871,0.3361987389074481,0.4129773608131815,0.44883830305427685,0.5267313601087485
